"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"FastHealth Corporation","AL","Business Associate","1345","02/27/2018","Hacking/IT Incident","Network Server","Yes",""
"Rhode Island Executive Office of Health and Human Services","RI","Health Plan","1100","02/27/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"California College of Arts","CA","Health Plan","623","02/26/2018","Theft","Laptop","No",""
"QuadMed, LLC (Hillenbrand)","WI","Healthcare Provider","2471","02/26/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"QuadMed, LLC (Stoughton Trailers)","WI","Healthcare Provider","2834","02/26/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Center for Sports Medicine and Orthopedics ","TN","Healthcare Provider","800","02/26/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Walmart, Inc.","AR","Healthcare Provider","735","02/22/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Flexible Benefit Service Corporation","IL","Business Associate","5123","02/16/2018","Hacking/IT Incident","Email","Yes",""
"Partners HealthCare System, Inc.","MA","Healthcare Provider","2450","02/05/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"City of Detroit","MI","Healthcare Provider","544","02/05/2018","Loss","Other Portable Electronic Device","No",""
"Eastern Maine Medical Center","ME","Healthcare Provider","660","02/02/2018","Theft","Other Portable Electronic Device","Yes",""
"Triple-S Advantage, Inc. ","","Health Plan","36305","02/02/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Coastal Cape Fear Eye Associates, P.A.","NC","Healthcare Provider","925","02/01/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Children's Mercy Hospital","MO","Healthcare Provider","63049","01/31/2018","Hacking/IT Incident","Email","No",""
"QuadMed, LLC (Whirlpool)","WI","Healthcare Provider","4549","01/29/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Decatur County General Hospital","TN","Healthcare Provider","24000","01/26/2018","Hacking/IT Incident","Network Server","No",""
"Rocky Mountain Women's Health Center, Inc.","UT","Healthcare Provider","1123","01/25/2018","Improper Disposal","Paper/Films","No",""
"Zachary E. Adkins, DDS","NM","Healthcare Provider","3677","01/25/2018","Theft","Other Portable Electronic Device","No",""
"Gillette Medical Imaging","WY","Healthcare Provider","4476","01/18/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"High Plains Surgical Associates","WY","Healthcare Provider","607","01/15/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Western Washington Medical Group Inc.","WA","Healthcare Provider","842","01/12/2018","Improper Disposal","Paper/Films","No",""
"Onco360 and CareMed Specialty Pharmacy ","KY","Healthcare Provider","53173","01/12/2018","Hacking/IT Incident","Email","No",""
"Alicia Ann Oswald","CA","Healthcare Provider","800","01/09/2018","Unauthorized Access/Disclosure","Email","No",""
"Palomar Health (Palomar Medical Center (Escondido)","CA","Healthcare Provider","1309","01/08/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Charles River Medical Associates, pc","MA","Healthcare Provider","9387","01/08/2018","Loss","Other Portable Electronic Device","No",""
"Oklahoma State University Center for Health Sciences","OK","Healthcare Provider","279865","01/05/2018","Hacking/IT Incident","Network Server","No",""
"Penn Medicine","PA","Healthcare Provider","1050","01/02/2018","Theft","Laptop","No",""
"SSM Health","MO","Healthcare Provider","29579","12/28/2017","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Miracle-Ear, Inc. and Amplifon (USA), Inc.","MN","Business Associate","554","12/28/2017","Hacking/IT Incident","Email","Yes",""
"Longs Peak Family Practice, P.C.","CO","Healthcare Provider","16238","12/27/2017","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Blue Cross Blue Shield of Massachusetts","MA","Health Plan","1843","12/26/2017","Unauthorized Access/Disclosure","Email","No",""
"Absolute Dental Hygiene, LLC","OR","Healthcare Provider","871","12/20/2017","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"MidMichigan Medical Center-Alpena","MI","Healthcare Provider","1900","12/19/2017","Loss","Paper/Films","No",""
"Emory Healthcare  ","GA","Healthcare Provider","24000","12/15/2017","Unauthorized Access/Disclosure","Email","No",""
"Chilton Medical Center","NJ","Healthcare Provider","4600","12/15/2017","Theft","Other Portable Electronic Device","No",""
"NYU School of Medicine - Pediatric Surgery Associates","NY","Healthcare Provider","2158","12/15/2017","Improper Disposal","Paper/Films","No",""
"Kaiser Foundation Health Plan, Inc.","CA","Health Plan","4389","12/14/2017","Hacking/IT Incident","Email","No",""
"Midland County Hospital District d/b/a Midland Memorial Hospital  ","TX","Healthcare Provider","1160","12/12/2017","Hacking/IT Incident","Email","No",""
"Pharmacy Innovations","NY","Healthcare Provider","1205","12/12/2017","Hacking/IT Incident","Network Server","No",""
"Franciscan Physician Network of Illinois and Specialty Physicians of Illinois, LLC (formerly known as WellGroup Health Partners, LLC)","IL","Healthcare Provider","22000","12/09/2017","Loss","Paper/Films","No",""
"Columbus Surgery Center, LLC ","NE","Healthcare Provider","7221","12/07/2017","Hacking/IT Incident","Network Server","No",""
"Eye Physicians, P.C.","NE","Healthcare Provider","2620","12/07/2017","Hacking/IT Incident","Network Server","No",""
"Austin Manual Therapy Associates","TX","Healthcare Provider","1750","12/06/2017","Hacking/IT Incident","Laptop, Network Server","No",""
"Bronson Healthcare Group","MI","Healthcare Provider","8256","12/05/2017","Hacking/IT Incident","Email","No",""
"Golden Rule Insurance Company","IN","Health Plan","9305","12/04/2017","Unauthorized Access/Disclosure","Network Server","Yes",""
"Sinai Health System ","IL","Healthcare Provider","11347","12/01/2017","Hacking/IT Incident","Email","No",""
"Henry Ford Health System","MI","Healthcare Provider","43563","12/01/2017","Theft","Email","No",""
"CCRM Minneapolis, P.C.","MN","Healthcare Provider","3280","12/01/2017","Hacking/IT Incident","Network Server","No",""
"Hackensack Sleep and Pulmonary Center","NJ","Healthcare Provider","16474","11/28/2017","Hacking/IT Incident","Network Server","No",""
"Alere Toxicology","MA","Healthcare Provider","2146","11/28/2017","Unauthorized Access/Disclosure","Paper/Films","No",""
"Pulmonary Specialists of Louisville, PSC","KY","Healthcare Provider","32000","11/27/2017","Hacking/IT Incident","Electronic Medical Record","No",""
"Metrocare Services","TX","Healthcare Provider","500","11/17/2017","Hacking/IT Incident","Email","No",""
"The Medical College of Wisconsin, Inc.","WI","Healthcare Provider","9500","11/17/2017","Hacking/IT Incident","Email","No",""
"Washington State Department of Social and Health Services","WA","Healthcare Provider","515","11/16/2017","Unauthorized Access/Disclosure","Email","No",""
"UPMC Susquehanna","PA","Healthcare Provider","1208","11/15/2017","Hacking/IT Incident","Email","No",""
"Sports Medicine & Rehabilitation Therapy, Inc.","MA","Healthcare Provider","7000","11/14/2017","Hacking/IT Incident","Network Server","No",""
"Otolaryngology Associates of Central New Jersey, P.C.","NJ","Healthcare Provider","1551","11/10/2017","Theft","Paper/Films","No",""
"The Center For Health Care Services ","TX","Healthcare Provider","501","11/08/2017","Theft","Paper/Films","No",""
"Aetna Inc.","CT","Health Plan","1600","11/08/2017","Unauthorized Access/Disclosure","Paper/Films","No",""
"Indiana University Health","IN","Healthcare Provider","1399","11/03/2017","Improper Disposal","Paper/Films","No",""
"Shop-Rite Supermarkets, Incorporated","NY","Healthcare Provider","12172","11/03/2017","Improper Disposal","Other Portable Electronic Device","No",""
"East Central Kansas Area Agency on Aging","KS","Business Associate","8750","10/31/2017","Hacking/IT Incident","Network Server","Yes",""
"Texas Children's Health Plan","TX","Health Plan","932","10/27/2017","Unauthorized Access/Disclosure","Email","No",""
"Florida Blue ","FL","Health Plan","939","10/27/2017","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Catholic Charities of the Diocese of Albany","NY","Healthcare Provider","4624","10/27/2017","Hacking/IT Incident","Network Server","No",""
"Cook County Health & Hospitals System","IL","Healthcare Provider","727","10/27/2017","Unauthorized Access/Disclosure","Network Server","Yes",""
"Arch City Dental, LLC - Drs. Baloy and Donatelli","OH","Healthcare Provider","1716","10/26/2017","Unauthorized Access/Disclosure","Email","No",""
"MGA Home Healthcare Colorado, Inc.","AZ","Healthcare Provider","2898","10/25/2017","Hacking/IT Incident","Email","No",""
"TJ Samson Community Hospital","KY","Healthcare Provider","683","10/24/2017","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Iowa Department of Human Services","IA","Health Plan","820","10/20/2017","Hacking/IT Incident","Email","No",""
"Martinsville Henry County Coalition for Health and Wellness","VA","Healthcare Provider","5806","10/13/2017","Theft","Laptop","No",""
"Bridget P Early MD LLC d/b/a Namaste Health Care","MO","Healthcare Provider","1617","10/12/2017","Hacking/IT Incident","Network Server","No",""
"John Hancock Life Insurance Company (U.S.A.)","MA","Health Plan","1715","10/06/2017","Hacking/IT Incident","Network Server","No",""
"Briggs & Stratton Corporation","WI","Health Plan","12789","09/29/2017","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"Riaz Baber, M.D., S.C.","IL","Healthcare Provider","10500","09/28/2017","Unauthorized Access/Disclosure","Paper/Films","No",""
"Advanced Spine & Pain Center","TX","Healthcare Provider","8352","09/27/2017","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Mercy Health Love County Hospital and Clinic ","OK","Healthcare Provider","13004","09/20/2017","Theft","Laptop, Paper/Films","No",""
"MN Urology","MN","Healthcare Provider","939","09/18/2017","Unauthorized Access/Disclosure","Email","No",""
"W. W. Grainger, Inc.","IL","Health Plan","1594","09/18/2017","Theft","Laptop","No",""
"The MS Center of Saint Louis and Mercy Clinic Neurology - Town and Country ","MO","Healthcare Provider","1081","09/16/2017","Unauthorized Access/Disclosure","Other","No",""
"AU Medical Center, Inc.","GA","Healthcare Provider","6109","09/15/2017","Hacking/IT Incident","Email","No",""
"Medical Mutual of Ohio","OH","Health Plan","6119","09/15/2017","Unauthorized Access/Disclosure","Email","No",""
"Indiana Health Centers, Inc.","IN","Healthcare Provider","1697","09/12/2017","Theft","Desktop Computer, Laptop","No",""
"Children's Hospital Colorado","CO","Healthcare Provider","3370","09/08/2017","Hacking/IT Incident","Email","No",""
"Network Health","WI","Health Plan","51232","09/08/2017","Hacking/IT Incident","Email","No",""
"Ridgeview Medical Center","MN","Healthcare Provider","1074","09/08/2017","Unauthorized Access/Disclosure","Email","No",""
"University of Wisconsin - Madison","WI","Healthcare Provider","1000","09/07/2017","Unauthorized Access/Disclosure","Paper/Films","No",""
"Community Memorial Health System","CA","Healthcare Provider","959","09/05/2017","Hacking/IT Incident","Email","No",""
"CBS Consolidated, Inc.","NE","Business Associate","21856","09/05/2017","Hacking/IT Incident","Network Server","Yes",""
"The Neurology Foundation, Inc.","RI","Healthcare Provider","12861","09/01/2017","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Network Server, Other Portable Electronic Device, Paper/Films","No",""
"Aetna Inc.","CT","Health Plan","11887","08/29/2017","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Medical Oncology Hematology Consultants,PA","DE","Healthcare Provider","19203","08/29/2017","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Kaleida Health","NY","Healthcare Provider","744","08/25/2017","Hacking/IT Incident","Email","No",""
"McLaren Medical Group, Mid-Michigan Physicians Imaging Center","MI","Healthcare Provider","106008","08/24/2017","Hacking/IT Incident","Network Server","No",""
"Feinstein and Roe Mds Inc.","CA","Healthcare Provider","6642","08/21/2017","Hacking/IT Incident","Network Server","No",""
"Centura Health, Mercy Family Medicine","CO","Healthcare Provider","2069","08/16/2017","Loss","Other Portable Electronic Device","No",""
"Salina Family Healthcare Center","KS","Healthcare Provider","77337","08/16/2017","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"MJHS Home Care","NY","Healthcare Provider","6000","08/11/2017","Hacking/IT Incident","Email","No",""
"Silver Cross Hospital","IL","Healthcare Provider","8862","08/11/2017","Unauthorized Access/Disclosure","Network Server","Yes",""
"MDeverywhere, Inc.","TX","Business Associate","1396","08/10/2017","Unauthorized Access/Disclosure","Other","Yes",""
"Surgical Dermatology Group","AL","Healthcare Provider","14000","08/05/2017","Hacking/IT Incident","Network Server","Yes",""
"Elderplan, Inc. ","NY","Health Plan","22000","08/05/2017","Hacking/IT Incident","Email","No",""
"Spectrum Health System","MI","Healthcare Provider","902","08/03/2017","Theft","Other Portable Electronic Device","No",""
"Bluetail Medical Group","MO","Healthcare Provider","11000","08/02/2017","Hacking/IT Incident","Desktop Computer","No",""
"Daniel Drake Center for Post-Acute Care","OH","Healthcare Provider","4721","08/01/2017","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Northwest Rheumatology","AZ","Healthcare Provider","7468","07/31/2017","Hacking/IT Incident","Network Server","No",""
"Plastic Surgery Associates of South Dakota","SD","Healthcare Provider","10229","07/27/2017","Hacking/IT Incident","Network Server","No",""
"Anthem, Inc.","IN","Health Plan","18580","07/24/2017","Unauthorized Access/Disclosure","Email","Yes",""
"The University of Vermont Medical Center","VT","Healthcare Provider","2300","07/21/2017","Hacking/IT Incident","Email","No",""
"Performance Physical Therapy and Wellness","CT","Healthcare Provider","571","07/21/2017","Hacking/IT Incident","Email","No",""
"Massachusetts Department of Public Health - Tewksbury Hospital","MA","Healthcare Provider","1176","07/21/2017","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Kaleida Health","NY","Healthcare Provider","2789","07/21/2017","Hacking/IT Incident","Email","No",""
"Metropolitan Life Insurance Company","NY","Health Plan","4220","07/19/2017","Hacking/IT Incident","Other","No",""
"Women's Health Care Group of PA, LLC","PA","Healthcare Provider","300000","07/15/2017","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Detroit Medical Center","MI","Healthcare Provider","1529","07/13/2017","Theft","Desktop Computer, Paper/Films","No",""
"Professional Counseling & Medical Associates","TN","Healthcare Provider","2500","07/13/2017","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Rosalind Franklin University of Medicine ","IL","Healthcare Provider","859","07/09/2017","Hacking/IT Incident","Email","No",""
"Peachtree Neurological Clinic, P.C.","GA","Healthcare Provider","176295","07/07/2017","Hacking/IT Incident","Network Server","No",""
"The Dermatology Center of Raleigh PA","NC","Healthcare Provider","3000","07/05/2017","Unauthorized Access/Disclosure","Email","No",""
"PVHS-ICM Employee Health and Wellness, LLC as covered entity and business associate","CO","Healthcare Provider","10143","07/03/2017","Hacking/IT Incident","Network Server","No",""
"Enterprise Services LLC","CO","Business Associate","822","06/30/2017","Unauthorized Access/Disclosure","Network Server, Other","Yes",""
"Community Link Inc","WI","Health Plan","5524","06/30/2017","Hacking/IT Incident","Email","No",""
"California Pacific Orthopaedics and Sports Medicine","CA","Healthcare Provider","2263","06/30/2017","Theft","Laptop, Paper/Films","No",""
"FastHealth Corporation","AL","Business Associate","9289","06/29/2017","Hacking/IT Incident","Network Server","Yes",""
"Enterprise Services LLC","IN","Business Associate","56075","06/27/2017","Unauthorized Access/Disclosure","Network Server, Other","Yes",""
"GI Care for Kids Endoscopy Center","GA","Healthcare Provider","1700","06/27/2017","Hacking/IT Incident","Network Server","No",""
"Henry Ford Health System","MI","Healthcare Provider","596","06/26/2017","Theft","Paper/Films","No",""
"Southern Illinois Hospital Services","IL","Healthcare Provider","613","06/23/2017","Unauthorized Access/Disclosure","Network Server","No",""
"Pharma Medica Research Inc.","MO","Healthcare Provider","2718","06/23/2017","Unauthorized Access/Disclosure","Network Server","No",""
"Adams Industries, Inc.","NE","Health Plan","647","06/21/2017","Hacking/IT Incident","Network Server","No",""
"Aetna Inc.","CT","Health Plan","5002","06/20/2017","Unauthorized Access/Disclosure","Network Server","No",""
"Airway Oxygen, Inc.","MI","Healthcare Provider","500000","06/16/2017","Hacking/IT Incident","Network Server","No",""
"Cove Family and Sports Medicine, LLC","AL","Healthcare Provider","4300","06/12/2017","Hacking/IT Incident","Network Server","No",""
"Southwest Community Health Center","CT","Healthcare Provider","6000","06/07/2017","Theft","Desktop Computer, Laptop","No",""
"N. Fred Eaglstein, D.O. d/b/a Dermatology and Laser Center","FL","Healthcare Provider","2000","05/30/2017","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"UW Health","WI","Healthcare Provider","2036","05/25/2017","Hacking/IT Incident","Email","No",""
"D. Andrew Loomis MD, Paula Schulze MD,Tammara Stefanelli MD, Christen Vu DO, Anja Crider MD","WA","Healthcare Provider","9000","05/24/2017","Hacking/IT Incident","Network Server","No",""
"New York City Health and Hospitals Corporation - Coney Island Hospital","NY","Healthcare Provider","3494","05/09/2017","Unauthorized Access/Disclosure","Other, Paper/Films","No",""
"Blue Cross and Blue Shield of Kansas City","MO","Health Plan","725","05/05/2017","Unauthorized Access/Disclosure","Other","No",""
"Michagan Facial Aesthetic Surgeons d/b/a University Physician Group","MI","Healthcare Provider","3467","04/28/2017","Theft","Laptop","No",""
"Spine Specialist","NJ","Healthcare Provider","600","04/28/2017","Theft","Laptop","No",""
"Atlantic Digestive Specialists  ","NH","Healthcare Provider","2081","04/21/2017","Hacking/IT Incident","Network Server","No",""
"Lifespan Corporation","RI","Healthcare Provider","20431","04/21/2017","Theft","Laptop","No",""
"Humana Inc [case # HU17001CC]","KY","Health Plan","3831","04/18/2017","Hacking/IT Incident","Network Server","No",""
"BioReference Laboratories, Inc.","NJ","Healthcare Provider","1772","04/14/2017","Improper Disposal","Paper/Films","No",""
"Ashland Women's Health","KY","Healthcare Provider","19727","04/04/2017","Hacking/IT Incident","Network Server","No",""
"Memorial Healthcare","MI","Healthcare Provider","685","04/03/2017","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Apex EDI, Inc.","UT","Business Associate","1132","03/31/2017","Hacking/IT Incident","Network Server","Yes",""
"Skin Cancer Specialists, P.C.","GA","Healthcare Provider","3365","03/31/2017","Hacking/IT Incident","Network Server","No",""
"Washington University School of Medicine","MO","Healthcare Provider","80270","03/25/2017","Hacking/IT Incident","Email","No",""
"Metropolitan Urology Group","WI","Business Associate","17634","03/10/2017","Hacking/IT Incident","Network Server","Yes",""
"St. Louis Children's Hospital","MO","Healthcare Provider","643","03/09/2017","Unauthorized Access/Disclosure","Email","No",""
"Primary Care Specialists, Inc.","TN","Healthcare Provider","65000","03/09/2017","Hacking/IT Incident","Network Server","No",""
"American Home Patient","TN","Healthcare Provider","13861","03/06/2017","Theft","Other Portable Electronic Device","No",""
"VisionQuest Eyecare","IN","Healthcare Provider","85995","03/02/2017","Hacking/IT Incident","Network Server","No",""
"VA St. Louis Health Care System","MO","Healthcare Provider","724","03/01/2017","Unauthorized Access/Disclosure","Paper/Films","No",""
"North Carolina Department of Health and Human Services","NC","Health Plan","12731","02/23/2017","Unauthorized Access/Disclosure","Email","No",""
"Emory Healthcare ","GA","Healthcare Provider","79930","02/21/2017","Hacking/IT Incident","Network Server","No",""
"Chadron Community Hospital & Health Services","NE","Healthcare Provider","702","02/19/2017","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"The Affiliated Sante Group","MD","Healthcare Provider","550","01/31/2017","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Vertiv Co. Health & Welfare Plan","OH","Health Plan","955","01/31/2017","Unauthorized Access/Disclosure","Paper/Films","No",""
"Shiel Sexton","IN","Health Plan","710","01/27/2017","Unauthorized Access/Disclosure","Other","Yes",""
"Princeton Pain Management","NJ","Healthcare Provider","4668","01/27/2017","Hacking/IT Incident","Desktop Computer, Electronic Medical Record","No",""
"Sentara Healthcare","VA","Healthcare Provider","5454","01/16/2017","Hacking/IT Incident","Network Server","Yes",""
"St. Luke's Medical Center","ND","Healthcare Provider","600","01/16/2017","Hacking/IT Incident","Network Server","No",""
"University of Maryland Orthopaedic Associates, P.A.","MD","Healthcare Provider","1320","01/13/2017","Hacking/IT Incident","Email","No",""
"State of New Hampshire, Department of Health and Human Services","NH","Healthcare Provider","15000","12/30/2016","Hacking/IT Incident","Desktop Computer","No",""
"Horizon Healthcare Services Inc. doing business as Horizon Blue Cross Blue Shield of New Jersey and its affiliates","NJ","Health Plan","55700","12/30/2016","Unauthorized Access/Disclosure","Paper/Films","No",""
"Susan M Hughes Center","NJ","Healthcare Provider","11400","12/27/2016","Hacking/IT Incident","Network Server","No",""
"Brandywine Pediatrics, P.A.","DE","Healthcare Provider","26873","12/23/2016","Hacking/IT Incident","Network Server","No",""
"Waiting Room Solutions Limited Liability Limited Partnership","NY","Business Associate","700","12/23/2016","Unauthorized Access/Disclosure","Email","Yes",""
"Fairbanks Hospital","IN","Healthcare Provider","12994","12/16/2016","Unauthorized Access/Disclosure","Network Server","No",""
"Quest Diagnostics","NJ","Healthcare Provider","34055","12/12/2016","Hacking/IT Incident","Network Server","No",""
"Appalachian Gastroenterology, P.A.","NC","Healthcare Provider","11000","12/10/2016","Hacking/IT Incident","Network Server","No",""
"Dr. Melissa D. Selke","NJ","Healthcare Provider","4277","12/05/2016","Hacking/IT Incident","Desktop Computer, Electronic Medical Record","No",""
"Advanced Fertility Center of Chicago","IL","Healthcare Provider","19000","12/01/2016","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Managed Health Services","IN","Health Plan","5500","11/29/2016","Theft","Email, Laptop","No",""
"UnitedHealth Group Single Affiliated Covered Entity","MN","Health Plan","1408","11/22/2016","Unauthorized Access/Disclosure","Other","No",""
"Peachtree Orthopaedic Clinic","GA","Healthcare Provider","531000","11/18/2016","Hacking/IT Incident","Network Server","No",""
