StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q6,Q7,mTurkCode
2018-01-12 20:14:50,2018-01-12 20:15:47,IP Address,71.117.157.225,100,56,True,2018-01-12 20:15:47,R_3koijQa5Ta262ls,,,,,41.705001831055,-71.460403442383,anonymous,EN,getting raped when sleeping on the streets,nice weather,30,ca,9
2018-01-12 20:17:59,2018-01-12 20:22:51,IP Address,99.172.113.154,100,291,True,2018-01-12 20:22:51,R_2dMTrJr9omxhAgf,,,,,33.47770690918,-84.038803100586,anonymous,EN,my children,my children,43,"Georgia, USA",6
2018-01-12 20:27:01,2018-01-12 20:27:39,IP Address,71.100.144.16,100,37,True,2018-01-12 20:27:39,R_3D1knu655LKJk7P,,,,,27.338806152344,-82.540199279785,anonymous,EN,losing my family,my family,56,Florida,2
2018-01-12 20:14:37,2018-01-12 20:31:44,IP Address,170.254.18.10,100,1026,True,2018-01-12 20:31:44,R_1l5fCEMZFD3ZZCs,,,,,17.25,-88.766700744629,anonymous,EN,Death of my child,Parenthood,32,Belize,7
2018-01-12 20:37:44,2018-01-12 20:38:01,IP Address,71.89.204.137,100,16,True,2018-01-12 20:38:01,R_25LnZq9tYwvYz4L,,,,,42.444000244141,-122.1741027832,anonymous,EN,Snakes,Love,22,Oregon,3
2018-01-12 20:40:44,2018-01-12 20:41:19,IP Address,174.255.211.84,100,34,True,2018-01-12 20:41:19,R_3MoJCPamznc61iV,,,,,37.751007080078,-97.821998596191,anonymous,EN,Death,Motherhood,33,"USA, ALABAMA",6
2018-01-12 20:46:13,2018-01-12 20:46:36,IP Address,75.180.236.161,100,22,True,2018-01-12 20:46:36,R_3CWwf34PJrX3Wfs,,,,,34.738006591797,-77.080299377441,anonymous,EN,losing everything,my family,22,"US, NC",3
2018-01-12 20:49:08,2018-01-12 20:49:31,IP Address,107.3.10.19,100,23,True,2018-01-12 20:49:31,R_DrhpkACrFPRfHHj,,,,,42.966094970703,-70.988098144531,anonymous,EN,happiness,nothing,35,new hampshire,6
2018-01-12 21:03:17,2018-01-12 21:04:07,IP Address,172.56.10.43,100,49,True,2018-01-12 21:04:07,R_2fxOSmuAXjhPXR4,,,,,42.38720703125,-83.19059753418,anonymous,EN,Harm coming to my family.,Happiness coming to my family.,39,Michigan,8
2018-01-12 21:08:22,2018-01-12 21:10:07,IP Address,47.31.214.184,100,104,True,2018-01-12 21:10:07,R_1IMl59oOFY0BkDz,,,,,28.666702270508,77.216705322266,anonymous,EN,Lost relations due to mis-understanding,Spend time with family,37,INDIA,5
2018-01-12 21:12:38,2018-01-12 21:14:24,IP Address,108.230.185.20,100,105,True,2018-01-12 21:14:24,R_2zUZZD8umOUouZm,,,,,37.129104614258,-93.515098571777,anonymous,EN,being killed,my daughter,35,United States Missouri,9
2018-01-12 21:19:03,2018-01-12 21:19:43,IP Address,108.88.175.151,100,39,True,2018-01-12 21:19:43,R_3KJkIwtyreFvv6e,,,,,42.503799438477,-83.476402282715,anonymous,EN,death,getting up in the morning,53,"Michigan, United States",1
2018-01-12 21:25:12,2018-01-12 21:26:14,IP Address,47.32.45.54,100,61,True,2018-01-12 21:26:14,R_2QJMKzpM6ZwpfAL,,,,,45.639297485352,-94.223701477051,anonymous,EN,Disappointing people,Being with loved ones,22,Minnesota,8
2018-01-12 21:25:36,2018-01-12 21:26:19,IP Address,67.10.218.176,100,43,True,2018-01-12 21:26:20,R_1Igxt7y2PleHGZ4,,,,,31.874801635742,-106.45169830322,anonymous,EN,premature death,traveling with my spouse,59,"United States, Texas",1
2018-01-12 21:35:41,2018-01-12 21:36:22,IP Address,67.249.189.129,100,40,True,2018-01-12 21:36:22,R_pnpC0pPSm0seo4V,,,,,43.104705810547,-74.699699401855,anonymous,EN,that my wife will die before i do,hanging out with my new granddaughter,61,new york state,9
2018-01-13 18:31:03,2018-01-13 18:31:39,IP Address,64.130.184.152,100,36,True,2018-01-13 18:31:39,R_VQE0ZDtoBrHAoDv,,,,,37.305297851562,-85.914001464844,anonymous,EN,Being alone,My family,36,Kentucky,1
2018-01-12 15:05:03,2018-01-12 15:05:11,IP Address,98.227.126.206,25,8,False,2018-01-15 15:05:18,R_21vL9A89IEJYYdg,,,,,,,anonymous,EN,,my parents dying,,,5
2018-05-14 11:53:04,2018-05-14 11:53:16,IP Address,96.239.100.201,100,12,True,2018-05-14 11:53:17,R_2CkUFXWMePtSP5u,,,,,40.731704711914,-73.988502502441,anonymous,EN,test,test,test,test,8
2018-05-14 11:56:44,2018-05-14 11:57:18,IP Address,83.60.9.213,100,33,True,2018-05-14 11:57:18,R_sS8Tc8GmvUXitt7,,,,,41.983093261719,2.8249053955078,anonymous,EN,Loneliness,Languages,22,Spain,3
2018-05-14 11:56:52,2018-05-14 11:57:23,IP Address,84.117.160.26,100,30,True,2018-05-14 11:57:23,R_2aE6vFxkEtPmVjj,,,,,47.449996948242,26.300003051758,anonymous,EN,"sickness ",my dog,32,Romania,9
2018-05-14 11:57:26,2018-05-14 11:57:59,IP Address,98.215.144.116,100,33,True,2018-05-14 11:57:59,R_3ly7SfdyeJGzeCF,,,,,40.549392700195,-89.625198364258,anonymous,EN,losing my husband or son,my son,33,US - IL,5
2018-05-14 11:56:45,2018-05-14 11:58:03,IP Address,196.16.109.139,100,78,True,2018-05-14 11:58:03,R_1DGSTGD0dRSbrll,,,,,34.054397583008,-118.2440032959,anonymous,EN,NOTHING,COMPUTER,1991,UNITED STATES,9
2018-05-14 11:57:59,2018-05-14 11:58:21,IP Address,73.14.244.116,100,22,True,2018-05-14 11:58:22,R_2rVmc0Xtpy8fouY,,,,,38.914199829102,-104.77490234375,anonymous,EN,losing everything,my dogs,33,Colorado,2
2018-05-14 11:57:48,2018-05-14 11:58:30,IP Address,122.172.151.236,100,42,True,2018-05-14 11:58:31,R_27vQylqcZJ3FOAe,,,,,12.983306884766,77.583312988281,anonymous,EN,snake,singing,35,"karnataka ,india",6
2018-05-14 11:58:14,2018-05-14 11:58:52,IP Address,180.190.115.156,100,38,True,2018-05-14 11:58:53,R_bg6Flz8r8bUh7tD,,,,,14.604202270508,120.98220825195,anonymous,EN,Snakes,Love of my life,40,Philippines,6
2018-05-14 11:57:22,2018-05-14 11:58:57,IP Address,157.50.68.118,100,95,True,2018-05-14 11:58:57,R_28ZMm5VnY4dfC0K,,,,,13.083297729492,80.283294677734,anonymous,EN,"no your greatest fear ",yes i greatest joy,32,Asian,5
2018-05-14 11:58:09,2018-05-14 11:59:24,IP Address,103.66.79.120,100,74,True,2018-05-14 11:59:24,R_d4G3eh6xJ772akx,,,,,10.992492675781,76.961395263672,anonymous,EN,how you cope in the workplace,"Love is the most powerful ",28,alaska,2
2018-05-14 11:59:26,2018-05-14 12:00:20,IP Address,137.78.11.237,100,54,True,2018-05-14 12:00:20,R_3JwqdGSljyUvC92,,,,,34.200500488281,-118.13619995117,anonymous,EN,Losing my wife while our kids are still young,Linking up new trails,40,California,3
2018-05-14 11:59:54,2018-05-14 12:00:34,IP Address,136.61.9.34,100,40,True,2018-05-14 12:00:35,R_u1DnkSSq7TvV8Ot,,,,,39.019897460938,-94.46410369873,anonymous,EN,Losing my Dog Izzy,My dog Izzy,42,Missouri,4
2018-05-14 11:59:41,2018-05-14 12:00:49,IP Address,122.178.17.184,100,67,True,2018-05-14 12:00:49,R_1HboarXh5oVI59d,,,,,9.9333038330078,78.11669921875,anonymous,EN,nice,interest,1996,indian,5
2018-05-14 12:00:26,2018-05-14 12:00:55,IP Address,66.242.218.46,100,29,True,2018-05-14 12:00:56,R_uwBkzSuLUwRgMud,,,,,39.016403198242,-89.781097412109,anonymous,EN,drowning,eating food,27,USA,9
2018-05-14 11:59:37,2018-05-14 12:01:02,IP Address,117.241.215.201,100,84,True,2018-05-14 12:01:02,R_3qa3GQig17wJ6fO,,,,,8.1938934326172,77.431396484375,anonymous,EN,SNAKE,MOBILE,22,INDIA,4
2018-05-14 12:00:25,2018-05-14 12:01:05,IP Address,24.155.46.254,100,39,True,2018-05-14 12:01:06,R_3q8466io1LxeAPb,,,,,29.48210144043,-98.455596923828,anonymous,EN,Losing my son,Seeing my son everyday,34,Texas,1
2018-05-14 12:00:41,2018-05-14 12:01:11,IP Address,50.82.73.90,100,29,True,2018-05-14 12:01:11,R_3sAihFGEJQ8nqLf,,,,,37.170196533203,-93.329696655273,anonymous,EN,"losing my family ","my child ",63,"Missouri ",3
2018-05-14 12:01:10,2018-05-14 12:01:32,IP Address,66.242.218.46,100,22,True,2018-05-14 12:01:33,R_sYvNSTdEuJUTamZ,,,,,39.016403198242,-89.781097412109,anonymous,EN,Drowning,Eating food,27,"IL, USA",2
2018-05-14 12:02:41,2018-05-14 12:03:38,IP Address,64.107.56.2,100,57,True,2018-05-14 12:03:38,R_1P1p3w5Pg6FEbPB,,,,,41.119003295898,-87.925903320312,anonymous,EN,giving up school,"knowledge ",20,illinois,8
2018-05-14 12:04:54,2018-05-14 12:05:19,IP Address,24.197.60.234,100,25,True,2018-05-14 12:05:20,R_2ux0GE6nLp95zxs,,,,,33.462905883789,-86.790397644043,anonymous,EN,Losing my wife,Being with my wife,28,Alabama,7
2018-05-14 11:59:21,2018-05-14 12:05:34,IP Address,38.104.214.44,100,373,True,2018-05-14 12:05:35,R_1r1SdxfUFNgmQpi,,,,,39.785095214844,-86.166496276855,anonymous,EN,My greatest fear is something bad happening to my children.,My greatest joy are my happy children.,34,US in Indiana,9
2018-05-14 12:04:16,2018-05-14 12:05:41,IP Address,5.80.151.93,100,84,True,2018-05-14 12:05:42,R_12gnvniPTwIjRf6,,,,,53.36669921875,-3.1499938964844,anonymous,EN,Harm coming to my family,The sense of calm when everyone I love is happy and I was instrumental in that,37,England,2
2018-05-14 12:07:29,2018-05-14 12:07:56,IP Address,24.30.131.44,100,26,True,2018-05-14 12:07:56,R_Pzeg0mxZCuw5j45,,,,,33.715301513672,-116.23739624023,anonymous,EN,My family,"My family ",25,California,9
2018-05-14 12:06:58,2018-05-14 12:08:16,IP Address,174.109.68.77,100,77,True,2018-05-14 12:08:16,R_Bs9VfcNkLm9OcWB,,,,,36.037796020508,-78.985801696777,anonymous,EN,being caught in a tidal wave,love,62,North Carolina,4
2018-05-14 12:08:53,2018-05-14 12:10:11,IP Address,107.175.189.165,100,77,True,2018-05-14 12:10:11,R_43l892KUbcPH4C5,,,,,34.049392700195,-118.26409912109,anonymous,EN,mid night ghost dreams,others happiness,78,texas,9
2018-05-14 12:09:43,2018-05-14 12:10:29,IP Address,69.251.20.39,100,45,True,2018-05-14 12:10:29,R_1dcT6GwzwAmoirU,,,,,38.837799072266,-77.000900268555,anonymous,EN,death,living,26,"(US) washington, dc",6
2018-05-14 12:10:21,2018-05-14 12:10:49,IP Address,193.240.149.178,100,28,True,2018-05-14 12:10:50,R_3dRPRzdb5uOttnX,,,,,51.514205932617,-0.093093872070312,anonymous,EN,Ocean depths,Not doing anything,29,Spain,4
2018-05-14 12:10:45,2018-05-14 12:11:11,IP Address,92.97.163.225,100,26,True,2018-05-14 12:11:12,R_2EtRUebPFJ7r3tq,,,,,25.258193969727,55.304702758789,anonymous,EN,Darkness,Travelling,25,LA,1
2018-05-14 12:13:06,2018-05-14 12:13:47,IP Address,76.24.109.168,100,40,True,2018-05-14 12:13:47,R_3HCaq1wXXRYX4DJ,,,,,41.656204223633,-70.349296569824,anonymous,EN,my health,Giving,56,USA,3
2018-05-14 12:14:06,2018-05-14 12:15:04,IP Address,66.189.73.255,100,58,True,2018-05-14 12:15:04,R_3JIdOE4RmEediTB,,,,,42.338592529297,-71.853103637695,anonymous,EN,Failure,Sleeping,26,"Massachussetts, USA",7
2018-05-14 12:17:04,2018-05-14 12:17:40,IP Address,165.234.1.9,100,36,True,2018-05-14 12:17:41,R_248nnhdfN9l1JKs,,,,,46.673095703125,-100.6270980835,anonymous,EN,not being able to support myself financially,Family,35,North Dakota,5
2018-05-14 12:17:40,2018-05-14 12:18:08,IP Address,172.74.178.48,100,28,True,2018-05-14 12:18:08,R_27Ne7nJ6bVryOct,,,,,35.057006835938,-79.014701843262,anonymous,EN,Homelessness,My daughter,33,North Carolina,8
2018-05-14 12:17:57,2018-05-14 12:18:35,IP Address,216.99.173.21,100,37,True,2018-05-14 12:18:35,R_1psp3nGScEmqSdZ,,,,,42.309600830078,-88.987297058105,anonymous,EN,homelessness,my children,55,Illinois,3
2018-05-14 12:17:39,2018-05-14 12:18:37,IP Address,117.206.132.220,100,58,True,2018-05-14 12:18:37,R_3CVjeKzSykxXPXX,,,,,9.5166931152344,77.63330078125,anonymous,EN,friends,friends,22,india,5
2018-05-14 12:18:29,2018-05-14 12:18:55,IP Address,134.129.83.235,100,26,True,2018-05-14 12:18:55,R_sAW4hcuZZ1MmTrb,,,,,46.877197265625,-96.78980255127,anonymous,EN,Death,Travel,23,North Dakota,3
2018-05-14 12:20:06,2018-05-14 12:21:00,IP Address,72.175.125.199,100,53,True,2018-05-14 12:21:00,R_2CEsy3PQ3qmv8KI,,,,,38.477905273438,-105.45559692383,anonymous,EN,declining health,my grandson,70,United States Colorado,9
2018-05-14 12:22:28,2018-05-14 12:22:53,IP Address,69.116.248.24,100,25,True,2018-05-14 12:22:53,R_0lDrMew2nHd2LLz,,,,,40.395797729492,-74.325500488281,anonymous,EN,Dying,Friends,27,New Jersey,9
2018-05-14 12:25:32,2018-05-14 12:26:28,IP Address,190.206.224.202,100,55,True,2018-05-14 12:26:28,R_TmS2ipExQyJtrZ7,,,,,10.5,-66.916702270508,anonymous,EN,aliens,family,35,Venezuela,2
2018-05-14 12:26:12,2018-05-14 12:26:43,IP Address,79.158.95.176,100,30,True,2018-05-14 12:26:43,R_3QMJ5UWx3YWYo1p,,,,,40.968795776367,-5.6638946533203,anonymous,EN,Loneliness,Music,22,Califronia,1
2018-05-14 12:26:34,2018-05-14 12:26:59,IP Address,199.175.46.4,100,25,True,2018-05-14 12:27:00,R_12Azu8ES4ZkbF6p,,,,,25.754104614258,-80.271003723145,anonymous,EN,fire,alcohol,50,FL,1
2018-05-14 12:32:47,2018-05-14 12:33:10,IP Address,47.23.132.178,100,22,True,2018-05-14 12:33:10,R_33fmAl60jScd0JP,,,,,40.868499755859,-73.839401245117,anonymous,EN,death,my children,33,Connecticut,4
2018-05-14 12:34:55,2018-05-14 12:35:20,IP Address,73.229.176.161,100,25,True,2018-05-14 12:35:21,R_8hQ0UFuw0bJOqtj,,,,,39.647796630859,-104.9781036377,anonymous,EN,not accomplishing my goals before death,My dog,25,US,5
2018-05-14 12:34:55,2018-05-14 12:35:28,IP Address,45.119.173.219,100,32,True,2018-05-14 12:35:28,R_3nJnIMcldUXOzEr,,,,,13.083297729492,80.283294677734,anonymous,EN,SNAKE,MOBILE,22,INDIA,3
2018-05-14 12:37:10,2018-05-14 12:37:40,IP Address,107.4.125.131,100,30,True,2018-05-14 12:37:41,R_2ARbJaDst0WWXi8,,,,,43.794403076172,-83.002502441406,anonymous,EN,Spiders,Family,54,Michigan,4
2018-05-14 12:38:52,2018-05-14 12:39:36,IP Address,117.241.215.201,100,43,True,2018-05-14 12:39:36,R_1jH6p5yI3g57FTT,,,,,8.1938934326172,77.431396484375,anonymous,EN,MAXIMUM,ALL TIME,22,INDIA,7
2018-05-14 12:38:55,2018-05-14 12:39:42,IP Address,108.85.34.109,100,46,True,2018-05-14 12:39:42,R_32LOm3GFxLkO3eK,,,,,33.10710144043,-86.903198242188,anonymous,EN,that I won't live up to my potential as a mother and wife,being a Christian living for God,37,Alabama,6
2018-05-14 12:40:18,2018-05-14 12:41:53,IP Address,207.255.35.44,100,94,True,2018-05-14 12:41:53,R_30w7w8YzK4mbg4k,,,,,40.553604125977,-78.424003601074,anonymous,EN,Death,My family,50,Pennsylvania,1
2018-05-14 12:43:00,2018-05-14 12:43:52,IP Address,74.3.157.234,100,52,True,2018-05-14 12:43:52,R_1oeiP45D4ZgurtU,,,,,49.842498779297,-97.218200683594,anonymous,EN,Leading an unfulfilled/unhappy life.,Family/Friends/Travel/My Cat,33,Canada,7
2018-05-14 12:46:06,2018-05-14 12:47:06,IP Address,122.174.80.47,100,59,True,2018-05-14 12:47:06,R_A4gIhNxBKOthiJH,,,,,13.083297729492,80.283294677734,anonymous,EN,TRAIN TRAVEL,FOOD EAT,32,TX,5
2018-05-14 12:46:17,2018-05-14 12:47:13,IP Address,157.50.195.105,100,55,True,2018-05-14 12:47:13,R_3D5blN4qOIPTWZ8,,,,,13.083297729492,80.283294677734,anonymous,EN,strangers,friends,22,india,7
2018-05-14 12:47:16,2018-05-14 12:48:15,IP Address,154.20.131.24,100,58,True,2018-05-14 12:48:15,R_25AX9hSXPIKwPqj,,,,,50.260406494141,-119.27740478516,anonymous,EN,KNOWING THAT THERE IS A GREAT TRIBULATION COMING,KNOWING THAT A PARADISE EARTH IS COMING,64,CANADA,8
2018-05-14 12:47:57,2018-05-14 12:49:03,IP Address,117.213.132.13,100,66,True,2018-05-14 12:49:03,R_2Ei9TIv2yKM6vPz,,,,,10.992492675781,76.961395263672,anonymous,EN,disease,eating,40,India,8
2018-05-14 12:54:49,2018-05-14 12:55:23,IP Address,24.127.189.31,100,34,True,2018-05-14 12:55:24,R_1puS7Y3iqRUMm2f,,,,,42.219604492188,-83.604598999023,anonymous,EN,Death,My child,30,Mi,1
2018-05-14 12:56:25,2018-05-14 12:57:06,IP Address,24.131.209.221,100,40,True,2018-05-14 12:57:06,R_DwTRJmxnOm6vJND,,,,,40.300994873047,-79.924201965332,anonymous,EN,loss of income,My family,58,Ohio,4
2018-05-14 12:57:22,2018-05-14 12:57:37,IP Address,117.196.249.155,100,14,True,2018-05-14 12:57:37,R_1PbgAF7FvVwWeZz,,,,,12.983306884766,77.583312988281,anonymous,EN,,,,,9
2018-05-14 12:53:03,2018-05-14 12:59:31,IP Address,157.50.209.106,100,387,True,2018-05-14 12:59:31,R_24eBBvNqguRnQzB,,,,,13.083297729492,80.283294677734,anonymous,EN,terrer movies,teaching,28,indian,4
2018-05-14 13:01:15,2018-05-14 13:02:10,IP Address,174.105.137.145,100,54,True,2018-05-14 13:02:10,R_238kHPPVOt6vpyh,,,,,39.843704223633,-82.89330291748,anonymous,EN,not being able to support my family,my children,30,"united states, ohio",9
2018-05-14 13:01:48,2018-05-14 13:02:53,IP Address,157.49.54.236,100,65,True,2018-05-14 13:02:54,R_1Rdn1JLkotPGEmJ,,,,,12.983306884766,77.583312988281,anonymous,EN,reading books,playing games,32,india,5
2018-05-14 13:04:00,2018-05-14 13:04:38,IP Address,117.241.215.201,100,37,True,2018-05-14 13:04:38,R_1OuEqED3RASrGmV,,,,,8.1938934326172,77.431396484375,anonymous,EN,snake,playing with friends,24,india,3
2018-05-14 13:06:07,2018-05-14 13:06:46,IP Address,189.48.147.155,100,38,True,2018-05-14 13:06:46,R_3m3otNT3CeQwG4U,,,,,-19.626800537109,-43.879898071289,anonymous,EN,"failure ","achievement ",32,Brazil,6
2018-05-14 13:07:49,2018-05-14 13:08:21,IP Address,66.203.141.66,100,32,True,2018-05-14 13:08:22,R_3kzgnBzVPeOTFCA,,,,,27.233993530273,-80.322700500488,anonymous,EN,failing my son,My son,42,Florida,5
2018-05-14 13:15:09,2018-05-14 13:15:46,IP Address,157.50.223.188,100,37,True,2018-05-14 13:15:46,R_2EsGPIWOsDd5Jx7,,,,,13.083297729492,80.283294677734,anonymous,EN,aiming,playing cards,33,indiana,8
2018-05-14 13:13:28,2018-05-14 13:15:50,IP Address,78.19.116.62,100,141,True,2018-05-14 13:15:50,R_28NE6mCPDdAUKXt,,,,,53.333099365234,-6.2489013671875,anonymous,EN,"My greatest fear is that the rest of my life will amount o nothing as a result of my illness, and I will only be a burden to the state or my family, with very little quality of life.",Achieving things that matter to me and to other people. My greatest achievement was getting a house for my mother and little brother to live in after years of squalor.,24,Ireland,8
2018-05-14 13:16:34,2018-05-14 13:17:07,IP Address,107.77.212.145,100,33,True,2018-05-14 13:17:08,R_2YLiNEArw2l3t1C,,,,,37.342193603516,-121.88330078125,anonymous,EN,not finding meaningful work,Helping others,47,California,7
2018-05-14 13:18:51,2018-05-14 13:19:53,IP Address,107.77.199.78,100,62,True,2018-05-14 13:19:53,R_1mx6DjFidwuWWev,,,,,32.778701782227,-96.821701049805,anonymous,EN,DEATH,VIDEO GAMES,59,TEXAS,8
2018-05-14 13:19:42,2018-05-14 13:20:11,IP Address,69.174.160.48,100,29,True,2018-05-14 13:20:12,R_3R94f7C2Ea26wK4,,,,,40.050003051758,-86.473899841309,anonymous,EN,Spiders,Music,25,Indiana,8
2018-05-14 13:20:39,2018-05-14 13:21:33,IP Address,172.58.21.244,100,54,True,2018-05-14 13:21:33,R_8rijqzMy1FyAooh,,,,,33.862701416016,-118.18069458008,anonymous,EN,Dark,My children,38,California,6
2018-05-14 13:21:46,2018-05-14 13:22:04,IP Address,169.139.19.126,100,18,True,2018-05-14 13:22:05,R_1r6yCcefSK26WWj,,,,,25.735992431641,-80.311096191406,anonymous,EN,"spiders ","my child ",23,florida,8
2018-05-14 13:23:37,2018-05-14 13:24:11,IP Address,107.213.216.165,100,34,True,2018-05-14 13:24:13,R_1ohg9UzpqceKHsl,,,,,25.60319519043,-80.334701538086,anonymous,EN,Death,Family,66,Florida,8
2018-05-14 13:24:21,2018-05-14 13:24:39,IP Address,169.139.19.126,100,18,True,2018-05-14 13:24:39,R_3Ez3HGObDMhLb2y,,,,,25.735992431641,-80.311096191406,anonymous,EN,spiders,"my phone ",22,florida,4
2018-05-14 13:23:49,2018-05-14 13:24:43,IP Address,184.2.80.33,100,53,True,2018-05-14 13:24:43,R_1gTiNSdukcHF8vN,,,,,37.961395263672,-78.28150177002,anonymous,EN,something happening to my daughters,my daughters,49,virginia,2
2018-05-14 13:26:15,2018-05-14 13:27:07,IP Address,184.5.177.5,100,51,True,2018-05-14 13:27:07,R_3dSaZqIs2dtk84v,,,,,40.201507568359,-77.188903808594,anonymous,EN,heights,a relaxing day,28,Pennsylvania,4
2018-05-14 13:27:24,2018-05-14 13:27:50,IP Address,84.60.185.133,100,26,True,2018-05-14 13:27:51,R_2P8dVMs67JVzLYW,,,,,50.870803833008,6.8675994873047,anonymous,EN,cancer,Food,45,Germany,3
2018-05-14 13:27:57,2018-05-14 13:28:44,IP Address,73.239.18.158,100,46,True,2018-05-14 13:28:44,R_125tHHkAWNGiDS6,,,,,47.653701782227,-117.31430053711,anonymous,EN,My pride being broken.,Feeling like I am the best at something.,28,"Washington, USA",6
2018-05-14 13:37:22,2018-05-14 13:37:53,IP Address,177.226.37.213,100,30,True,2018-05-14 13:37:53,R_1FBdIqqTxziOWiJ,,,,,19.533294677734,-96.916702270508,anonymous,EN,Death,My kids,38,California,5
2018-05-14 13:38:43,2018-05-14 13:39:25,IP Address,38.98.110.130,100,41,True,2018-05-14 13:39:25,R_1GDqrDloeOSxoND,,,,,40.766204833984,-73.986198425293,anonymous,EN,Dying,Having a great meal,24,New York,2
2018-05-14 13:40:02,2018-05-14 13:40:32,IP Address,47.196.29.172,100,29,True,2018-05-14 13:40:32,R_3KOBcEg4eK1umFO,,,,,27.866104125977,-82.326499938965,anonymous,EN,dying,being a father,33,Floirda,9
2018-05-14 13:48:24,2018-05-14 13:48:58,IP Address,75.143.216.43,100,34,True,2018-05-14 13:48:58,R_1Fez6a0cwREi7Qi,,,,,47.299392700195,-111.34410095215,anonymous,EN,Death,Life,38,Montana,5
2018-05-14 13:55:32,2018-05-14 13:56:20,IP Address,68.80.48.164,100,48,True,2018-05-14 13:56:22,R_Q5EdsaT9J5Loqnn,,,,,40.090194702148,-75.393699645996,anonymous,EN,Losing loved ones,When I achieve things that are difficult,18,"United States, Pennsylvania",9
2018-05-14 14:03:03,2018-05-14 14:03:20,IP Address,74.109.255.166,100,17,True,2018-05-14 14:03:20,R_2s1v4UCNUI7wXx7,,,,,40.430999755859,-79.922698974609,anonymous,EN,Failure,Love,29,Pa,2
2018-05-14 14:07:39,2018-05-14 14:08:07,IP Address,45.2.14.70,100,27,True,2018-05-14 14:08:07,R_V4QOGHockM1BpcJ,,,,,43.199996948242,-80.38330078125,anonymous,EN,Death,Creating things,37,Canada,1
2018-05-14 14:44:27,2018-05-14 14:45:21,IP Address,175.101.145.102,100,53,True,2018-05-14 14:45:21,R_3gUx7Ktxc61r2xV,,,,,16.933303833008,82.216705322266,anonymous,EN,Water,Play games,34,India,9
2018-05-14 14:48:27,2018-05-14 14:49:33,IP Address,123.201.54.187,100,65,True,2018-05-14 14:49:33,R_3lPmRDTErGGouak,,,,,18.533294677734,73.86669921875,anonymous,EN,Death,Music,32,Illinois,6
2018-05-14 14:57:56,2018-05-14 14:58:35,IP Address,155.178.180.11,100,39,True,2018-05-14 14:58:35,R_2RUkPMD1z1HHfjX,,,,,38.980697631836,-77.100303649902,anonymous,EN,Not being able to provide for my family,Being with my wife,32,"NJ, USA",3
2018-05-14 15:15:10,2018-05-14 15:15:42,IP Address,24.177.198.228,100,32,True,2018-05-14 15:15:42,R_27Tra5J0Np6hpRl,,,,,43.020797729492,-89.360000610352,anonymous,EN,Bees,The birth of my child.,59,Wisconsin,8
2018-05-14 15:24:11,2018-05-14 15:24:39,IP Address,72.207.23.155,100,28,True,2018-05-14 15:24:39,R_2YbKnSGo4soHZ1Y,,,,,32.736801147461,-117.12770080566,anonymous,EN,imperfection,bringing joy to others,25,"usa, CA",5
2018-05-14 15:28:32,2018-05-14 15:29:35,IP Address,108.56.241.69,100,63,True,2018-05-14 15:29:35,R_3NPZVGSXswvVWo1,,,,,39.131698608398,-77.28800201416,anonymous,EN,death of an immediate family member,being told that I'm loved,56,USA,2
2018-05-14 15:36:50,2018-05-14 15:38:24,IP Address,117.195.174.91,100,93,True,2018-05-14 15:38:25,R_24N5EC9djftWtl2,,,,,17.375305175781,78.474395751953,anonymous,EN,I may lose job,"seeing my children in prosperity ",57,"India ",1
2018-05-14 15:46:49,2018-05-14 15:47:06,IP Address,173.197.45.114,100,17,True,2018-05-14 15:47:07,R_3dVYQYlxRyYUbdX,,,,,38.914505004883,-94.300598144531,anonymous,EN,spiders,my dog,23,Kansas,8
2018-05-14 15:49:06,2018-05-14 15:50:21,IP Address,199.195.203.102,100,75,True,2018-05-14 15:50:21,R_2f9vNHscOkbRk6g,,,,,34.029296875,-118.35749816895,anonymous,EN,Finances,Food,40,California,1
2018-05-14 16:06:16,2018-05-14 16:06:41,IP Address,87.15.75.246,100,24,True,2018-05-14 16:06:42,R_1GHB77iton9Wfp9,,,,,40.675506591797,14.793304443359,anonymous,EN,death,my girl,23,Italy,4
2018-05-14 16:11:18,2018-05-14 16:11:39,IP Address,68.107.106.186,100,20,True,2018-05-14 16:11:39,R_z3bJU6IqbLGg7hD,,,,,32.74479675293,-117.1701965332,anonymous,EN,homelessness,stamping,48,California,9
2018-05-14 16:42:38,2018-05-14 16:43:02,IP Address,67.114.107.224,100,23,True,2018-05-14 16:43:02,R_2frkYvIjaYKFoBb,,,,,35.967803955078,-118.91989898682,anonymous,EN,death,my family,20,CA,4
2018-05-14 16:59:56,2018-05-14 17:00:23,IP Address,72.207.23.155,100,26,True,2018-05-14 17:00:23,R_DcuMXdDZBkmHaJb,,,,,32.736801147461,-117.12770080566,anonymous,EN,imperfection,bringing joy to my loved ones,25,"usa, ca",4
2018-05-14 17:14:53,2018-05-14 17:15:13,IP Address,108.36.213.24,100,20,True,2018-05-14 17:15:13,R_3F50BFSY1iocqDZ,,,,,40.115997314453,-75.013801574707,anonymous,EN,Elevators.,Seeing philly sports teams win.,25,PA,3
